Time (Years),Stock Price
0.500000,115.859700
0.501000,75.864018
0.502000,75.907865
0.503000,75.726115
0.504000,76.353305
0.505000,77.327490
0.506000,77.515512
0.507000,77.600885
0.508000,77.812641
0.509000,78.710907
0.510000,77.201484
0.511000,77.049355
0.512000,77.184691
0.513000,76.890093
0.514000,76.387664
0.515000,77.383939
0.516000,76.906195
0.517000,78.162171
0.518000,78.279596
0.519000,77.207995
0.520000,76.258089
0.521000,75.651949
0.522000,75.618880
0.523000,75.763685
0.524000,75.375936
0.525000,75.929993
0.526000,76.359099
0.527000,75.961636
0.528000,76.410870
0.529000,77.312015
0.530000,77.060454
0.531000,78.107667
0.532000,78.903900
0.533000,78.793701
0.534000,78.313796
0.535000,77.417194
0.536000,77.835118
0.537000,78.397173
0.538000,78.154287
0.539000,78.080118
0.540000,78.218980
0.541000,77.189767
0.542000,77.479588
0.543000,76.995869
0.544000,78.046545
0.545000,77.563582
0.546000,77.123396
0.547000,76.067283
0.548000,76.739549
0.549000,77.083245
0.550000,77.825332
0.551000,76.517180
0.552000,76.405899
0.553000,76.219315
0.554000,76.238572
0.555000,75.415960
0.556000,75.259594
0.557000,74.252458
0.558000,74.873201
0.559000,76.643263
0.560000,76.566048
0.561000,77.223658
0.562000,75.819209
0.563000,75.624769
0.564000,75.887556
0.565000,76.220382
0.566000,76.942622
0.567000,76.574472
0.568000,77.578802
0.569000,77.602489
0.570000,77.777746
0.571000,77.166209
0.572000,76.986443
0.573000,76.777275
0.574000,76.703514
0.575000,77.134809
0.576000,77.175198
0.577000,77.220530
0.578000,75.613150
0.579000,75.176321
0.580000,75.751704
0.581000,75.005075
0.582000,74.791830
0.583000,75.691114
0.584000,75.650298
0.585000,75.259709
0.586000,75.501718
0.587000,75.882231
0.588000,75.501673
0.589000,75.463357
0.590000,74.433173
0.591000,74.598824
0.592000,74.624227
0.593000,73.944028
0.594000,73.341185
0.595000,73.368949
0.596000,73.167732
0.597000,71.886486
0.598000,71.806139
0.599000,71.515488
0.600000,70.664027
0.601000,69.868910
0.602000,69.119837
0.603000,69.004603
0.604000,69.656050
0.605000,70.000975
0.606000,70.569501
0.607000,69.794075
0.608000,69.679502
0.609000,68.896790
0.610000,68.832582
0.611000,68.769585
0.612000,68.212624
0.613000,69.083463
0.614000,68.411263
0.615000,68.545523
0.616000,67.541170
0.617000,67.821849
0.618000,67.862347
0.619000,67.833954
0.620000,67.095661
0.621000,66.954917
0.622000,67.565790
0.623000,67.072771
0.624000,67.450579
0.625000,67.776007
0.626000,67.700053
0.627000,65.932313
0.628000,65.823893
0.629000,65.161959
0.630000,65.052231
0.631000,65.550593
0.632000,64.918695
0.633000,63.950413
0.634000,64.294650
0.635000,64.044480
0.636000,63.610415
0.637000,64.020927
0.638000,63.299595
0.639000,64.264657
0.640000,64.956215
0.641000,65.350348
0.642000,64.989092
0.643000,65.267873
0.644000,64.783117
0.645000,64.862850
0.646000,65.222308
0.647000,65.494609
0.648000,65.908235
0.649000,66.441517
0.650000,65.665477
0.651000,66.377385
0.652000,66.046023
0.653000,66.572152
0.654000,67.209870
0.655000,67.014950
0.656000,67.148667
0.657000,66.542748
0.658000,65.690209
0.659000,66.164632
0.660000,66.477635
0.661000,65.643052
0.662000,66.477195
0.663000,66.299281
0.664000,65.587328
0.665000,65.942075
0.666000,66.477999
0.667000,66.784847
0.668000,66.362604
0.669000,66.195145
0.670000,66.031994
0.671000,65.379888
0.672000,65.292388
0.673000,65.711270
0.674000,65.277673
0.675000,64.837746
0.676000,64.303534
0.677000,63.953769
0.678000,63.830046
0.679000,63.088694
0.680000,61.971498
0.681000,61.579020
0.682000,62.371444
0.683000,61.980952
0.684000,61.869355
0.685000,62.251598
0.686000,62.340764
0.687000,62.684878
0.688000,62.488761
0.689000,63.379162
0.690000,63.449478
0.691000,63.740747
0.692000,63.420667
0.693000,62.643193
0.694000,62.703151
0.695000,62.298531
0.696000,61.869117
0.697000,62.192413
0.698000,62.359864
0.699000,62.603425
0.700000,62.976322
0.701000,62.217063
0.702000,61.926661
0.703000,61.315186
0.704000,61.074518
0.705000,61.338974
0.706000,61.016375
0.707000,60.451197
0.708000,60.662413
0.709000,59.885839
0.710000,59.877409
0.711000,59.916644
0.712000,60.030383
0.713000,60.160318
0.714000,60.196304
0.715000,60.762546
0.716000,60.422432
0.717000,61.058328
0.718000,61.647983
0.719000,61.721361
0.720000,61.355358
0.721000,61.376892
0.722000,61.122710
0.723000,61.109572
0.724000,60.591218
0.725000,60.912216
0.726000,60.956071
0.727000,61.112871
0.728000,60.709434
0.729000,60.034232
0.730000,60.586442
0.731000,60.584422
0.732000,60.002381
0.733000,60.271740
0.734000,59.685319
0.735000,58.690737
0.736000,58.868677
0.737000,58.864130
0.738000,58.999150
0.739000,59.326876
0.740000,58.566185
0.741000,58.824411
0.742000,59.375647
0.743000,59.469382
0.744000,59.615742
0.745000,60.324393
0.746000,61.226597
0.747000,61.411956
0.748000,61.523598
0.749000,61.471172
0.750000,61.719242
0.751000,61.558228
0.752000,61.815320
0.753000,61.570635
0.754000,61.580528
0.755000,61.242417
0.756000,61.039264
0.757000,61.647912
0.758000,61.016503
0.759000,60.917463
0.760000,61.230036
0.761000,61.791022
0.762000,61.837320
0.763000,62.804942
0.764000,61.944566
0.765000,61.993496
0.766000,61.323631
0.767000,60.951923
0.768000,61.260756
0.769000,61.125194
0.770000,61.197397
0.771000,61.495303
0.772000,60.736536
0.773000,60.848818
0.774000,61.047369
0.775000,61.197044
0.776000,61.214834
0.777000,61.505343
0.778000,62.191769
0.779000,62.700332
0.780000,61.773596
0.781000,63.146859
0.782000,63.468562
0.783000,63.389914
0.784000,63.071956
0.785000,63.102916
0.786000,63.037986
0.787000,64.045301
0.788000,64.183449
0.789000,64.243213
0.790000,64.507293
0.791000,64.263111
0.792000,64.052787
0.793000,63.691914
0.794000,63.925357
0.795000,64.591966
